iter	Passed	Remaining
464	753	866
465	754	864
466	755	862
467	757	860
468	758	858
469	763	860
470	764	858
471	765	856
472	767	854
473	768	852
474	769	850
475	771	848
476	772	847
477	776	848
478	780	848
479	781	846
480	783	844
481	784	843
482	785	841
483	788	840
484	791	840
485	793	839
486	795	837
487	797	836
488	798	834
489	800	833
490	802	831
491	804	830
492	808	831
493	810	830
494	812	828
495	813	826
496	815	825
497	817	823
498	818	821
499	821	821
500	823	820
501	825	818
502	826	816
503	828	815
504	829	813
505	832	812
506	833	810
507	840	813
508	841	812
509	843	810
510	844	808
511	845	806
512	847	804
513	850	803
514	852	802
515	853	800
516	855	799
517	858	798
518	859	796
519	861	795
520	862	792
521	864	791
522	869	792
523	870	790
524	875	792
525	877	790
526	879	789
527	883	789
528	885	788
529	887	787
530	890	786
531	895	787
532	897	786
533	898	784
534	900	782
535	901	780
536	903	779
537	905	777
538	910	778
539	913	778
540	917	778
541	919	776
542	921	775
543	925	775
544	927	774
545	929	772
546	931	771
547	932	769
548	934	767
549	936	765
550	940	766
551	943	765
552	945	763
553	946	761
554	947	760
555	949	758
556	951	756
557	955	756
558	956	754
559	958	752
560	960	751
561	964	751
562	965	749
563	972	752
564	976	751
565	979	750
566	980	748
567	981	746
568	986	746
569	989	746
570	990	744
571	992	742
572	993	740
573	995	738
574	997	737
575	1003	738
576	1004	736
577	1007	735
578	1008	733
579	1010	731
580	1011	729
581	1013	727
582	1017	728
583	1020	726
584	1021	724
585	1024	723
586	1025	721
587	1027	719
588	1028	718
589	1033	718
590	1035	716
591	1037	714
592	1038	713
593	1040	711
594	1042	709
595	1044	707
596	1049	708
597	1052	707
598	1055	706
599	1057	704
600	1058	702
601	1061	702
602	1064	700
603	1068	700
604	1070	698
605	1071	696
606	1073	695
607	1075	693
608	1080	693
609	1081	691
610	1083	689
611	1084	687
612	1087	686
613	1089	684
614	1090	682
615	1096	683
616	1097	681
617	1099	679
618	1100	677
619	1102	675
620	1104	673
621	1105	671
622	1109	671
623	1112	670
624	1114	668
625	1116	666
626	1117	664
627	1119	663
628	1120	660
629	1121	658
630	1124	657
631	1126	655
632	1127	653
633	1129	652
634	1131	650
635	1132	648
636	1133	646
637	1135	644
638	1138	643
639	1139	641
640	1141	639
641	1142	637
642	1144	635
643	1145	633
644	1147	631
645	1148	629
646	1149	627
647	1153	626
648	1155	624
649	1156	622
650	1158	620
651	1159	618
652	1160	616
653	1162	614
654	1163	612
655	1165	611
656	1169	610
657	1170	608
658	1172	606
659	1174	604
660	1175	602
661	1177	601
662	1178	599
663	1180	597
664	1183	596
665	1185	594
666	1186	592
667	1187	590
668	1189	588
669	1191	586
670	1193	585
671	1195	583
672	1200	583
673	1202	581
674	1203	579
675	1205	577
676	1207	575
677	1208	574
678	1211	572
679	1214	571
680	1216	569
681	1219	568
682	1222	567
683	1224	565
684	1226	564
685	1228	562
686	1229	560
687	1231	558
688	1233	556
689	1234	554
690	1236	552
691	1237	550
692	1241	549
693	1242	547
694	1244	545
695	1245	544
696	1247	542
697	1248	540
698	1250	538
699	1252	536
700	1253	534
701	1257	533
702	1260	532
703	1262	530
704	1263	528
705	1265	526
706	1266	524
707	1267	522
708	1269	521
709	1272	519
710	1273	517
711	1275	515
712	1281	515
713	1283	514
714	1289	513
715	1292	512
716	1294	510
717	1296	509
718	1298	507
719	1302	506
720	1304	504
721	1306	503
722	1307	501
723	1309	499
724	1310	497
725	1312	495
726	1313	493
727	1315	491
728	1319	490
729	1320	488
730	1330	489
731	1333	488
732	1335	486
733	1338	484
734	1340	483
735	1342	481
736	1343	479
737	1344	477
738	1346	475
739	1348	473
740	1351	472
741	1354	470
742	1357	469
743	1358	467
744	1378	471
745	1382	470
746	1383	468
747	1384	466
748	1386	464
749	1387	462
750	1388	460
751	1390	458
752	1391	456
753	1393	454
754	1394	452
755	1397	450
756	1398	448
757	1400	446
758	1401	444
759	1402	443
760	1404	441
761	1405	439
762	1407	437
763	1414	437
764	1416	435
765	1417	433
766	1419	431
767	1420	429
768	1422	427
769	1423	425
770	1424	423
771	1429	422
772	1432	420
773	1434	418
774	1435	416
775	1437	414
776	1439	412
777	1440	411
778	1444	409
779	1446	407
780	1449	406
781	1450	404
782	1454	403
783	1458	401
784	1460	399
785	1463	398
786	1467	397
787	1469	395
788	1471	393
789	1472	391
790	1475	389
791	1476	387
792	1478	385
793	1488	386
794	1491	384
795	1494	382
796	1499	381
797	1502	380
798	1504	378
799	1506	376
800	1507	374
801	1509	372
802	1518	372
803	1519	370
804	1521	368
805	1522	366
806	1524	364
807	1525	362
808	1528	360
809	1530	358
810	1531	356
811	1533	354
812	1534	352
813	1537	351
814	1538	349
815	1540	347
816	1543	345
817	1544	343
818	1546	341
819	1549	340
820	1550	338
821	1552	336
822	1555	334
823	1559	333
824	1560	331
825	1562	329
826	1563	327
827	1565	325
828	1566	323
829	1569	321
830	1570	319
831	1577	318
832	1579	316
833	1580	314
834	1582	312
835	1583	310
836	1585	308
837	1586	306
838	1596	306
839	1598	304
840	1600	302
841	1601	300
842	1611	300
843	1613	298
844	1614	296
845	1615	294
846	1617	292
847	1622	290
848	1623	288
849	1624	286
850	1626	284
851	1627	282
852	1629	280
853	1630	278
854	1632	276
855	1633	274
856	1637	273
857	1638	271
858	1639	269
859	1641	267
860	1643	265
861	1644	263
862	1646	261
863	1647	259
864	1649	257
865	1650	255
866	1651	253
867	1653	251
868	1654	249
869	1656	247
870	1657	245
871	1659	243
872	1660	241
873	1665	240
874	1666	238
875	1669	236
876	1671	234
877	1677	233
878	1680	231
879	1681	229
880	1683	227
881	1684	225
882	1686	223
883	1688	221
884	1690	219
885	1695	218
886	1697	216
887	1698	214
888	1700	212
889	1702	210
890	1703	208
891	1705	206
892	1706	204
893	1710	202
894	1712	200
895	1729	200
896	1731	198
897	1733	196
898	1735	194
899	1737	193
900	1750	192
901	1753	190
902	1754	188
903	1755	186
904	1762	185
905	1764	183
906	1765	181
907	1769	179
908	1775	177
909	1777	175
910	1780	173
911	1781	171
912	1783	169
913	1784	167
914	1788	166
915	1790	164
916	1791	162
917	1793	160
918	1794	158
919	1797	156
920	1799	154
921	1810	153
922	1815	151
923	1822	149
924	1824	147
925	1831	146
926	1835	144
927	1836	142
928	1838	140
929	1839	138
930	1840	136
931	1854	135
932	1855	133
933	1857	131
934	1858	129
935	1860	127
936	1861	125
937	1866	123
938	1867	121
939	1868	119
940	1870	117
941	1871	115
942	1872	113
943	1874	111
944	1875	109
945	1887	107
946	1889	105
947	1890	103
948	1892	101
949	1893	99
950	1896	97
951	1899	95
952	1901	93
953	1903	91
954	1905	89
955	1907	87
956	1912	85
957	1918	84
958	1920	82
959	1921	80
960	1931	78
961	1933	76
962	1936	74
963	1938	72
964	1939	70
965	1942	68
966	1943	66
967	1944	64
968	1946	62
969	1947	60
970	1949	58
971	1950	56
972	1952	54
973	1957	52
974	1958	50
975	1961	48
976	1963	46
977	1964	44
978	1966	42
979	1967	40
980	1969	38
981	1972	36
982	1973	34
983	1975	32
984	1976	30
985	1977	28
986	1979	26
987	1980	24
988	1985	22
989	1987	20
990	1988	18
991	1990	16
992	1991	14
993	1993	12
994	1994	10
995	1995	8
996	1997	6
997	2002	4
998	2005	2
999	2006	0
